identificador,grupo,exercicio,avaliacao_a,avaliacao_b,avaliacao,consenso,tem_erro,n_erros_temporais,duracao_erro_s
G1A-CTK-R4-Roscoff-047,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-052,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-053,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,3,13.399999999999999
G1A-CTK-R4-Roscoff-076,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,19.16
G1A-CTK-R4-Roscoff-080,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.799999999999999
G1A-CTK-R4-Roscoff-081,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-087,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-089,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R4-Roscoff-103,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-004,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,8.48
G1A-CTK-R5-Roscoff-005,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-016,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-028,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R5-Roscoff-037,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-045,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-049,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-050,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-058,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-063,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-075,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,6.880000000000001
G1A-CTK-R5-Roscoff-085,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-097,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R5-Roscoff-105,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-006,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-017,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,7.200000000000001
G1A-CTK-R6-Roscoff-023,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-027,G1A,CTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-CTK-R6-Roscoff-031,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,8.879999999999999
G1A-CTK-R6-Roscoff-035,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-040,G1A,CTK,Incorrect,Correct,Incorrect,False,True,2,6.760000000000002
G1A-CTK-R6-Roscoff-060,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-069,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-079,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,14.479999999999999
G1A-CTK-R6-Roscoff-082,G1A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.4
G1A-CTK-R6-Roscoff-098,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-100,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-CTK-R6-Roscoff-101,G1A,CTK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R1-Brest-003,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R1-Brest-014,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,5.24
G1A-ELK-R1-Brest-029,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.799999999999999
G1A-ELK-R1-Brest-041,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.2
G1A-ELK-R1-Brest-046,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.319999999999997
G1A-ELK-R1-Brest-048,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.439999999999998
G1A-ELK-R1-Brest-049,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.68
G1A-ELK-R1-Brest-052,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.36
G1A-ELK-R1-Brest-059,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,3,29.426999999999996
G1A-ELK-R1-Brest-062,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.36
G1A-ELK-R1-Brest-069,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.84
G1A-ELK-R1-Brest-074,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.96
G1A-ELK-R1-Brest-075,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.96
G1A-ELK-R1-Brest-092,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,4.28
G1A-ELK-R2-Brest-001,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-008,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-012,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-017,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-027,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R2-Brest-033,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-038,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R2-Brest-039,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R2-Brest-064,G1A,ELK,Correct,Incorrect,Incorrect,False,True,1,4.6
G1A-ELK-R2-Brest-067,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R2-Brest-073,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R2-Brest-076,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R2-Brest-079,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R2-Brest-087,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-002,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R3-Brest-011,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-013,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R3-Brest-028,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.36
G1A-ELK-R3-Brest-034,G1A,ELK,Correct,Incomplete,Incomplete,False,True,0,0.0
G1A-ELK-R3-Brest-035,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-040,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-055,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-061,G1A,ELK,Correct,Incorrect,Incorrect,False,True,1,3.067
G1A-ELK-R3-Brest-066,G1A,ELK,Correct,Incorrect,Incorrect,False,True,1,5.7330000000000005
G1A-ELK-R3-Brest-070,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-080,G1A,ELK,Motionless,Motionless,Motionless,True,True,0,0.0
G1A-ELK-R3-Brest-083,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R3-Brest-088,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R4-Roscoff-004,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,7.880000000000001
G1A-ELK-R4-Roscoff-009,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.92
G1A-ELK-R4-Roscoff-015,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.319999999999999
G1A-ELK-R4-Roscoff-030,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,5.24
G1A-ELK-R4-Roscoff-031,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,6.0
G1A-ELK-R4-Roscoff-036,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,6.24
G1A-ELK-R4-Roscoff-045,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.04
G1A-ELK-R4-Roscoff-050,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,3.839999999999999
G1A-ELK-R4-Roscoff-051,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,5.5600000000000005
G1A-ELK-R4-Roscoff-054,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.760000000000002
G1A-ELK-R4-Roscoff-065,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,4,15.320000000000002
G1A-ELK-R4-Roscoff-082,G1A,ELK,Incorrect,Correct,Incorrect,False,True,2,6.279999999999999
G1A-ELK-R4-Roscoff-084,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,3.200000000000001
G1A-ELK-R4-Roscoff-091,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,6.72
G1A-ELK-R5-Roscoff-020,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,5.720000000000001
G1A-ELK-R5-Roscoff-022,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,4.280000000000001
G1A-ELK-R5-Roscoff-024,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,4.239999999999998
G1A-ELK-R5-Roscoff-025,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,7.760000000000001
G1A-ELK-R5-Roscoff-026,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,9.719999999999999
G1A-ELK-R5-Roscoff-032,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,10.879999999999999
G1A-ELK-R5-Roscoff-037,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,7.159999999999999
G1A-ELK-R5-Roscoff-042,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.2
G1A-ELK-R5-Roscoff-047,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,8.200000000000001
G1A-ELK-R5-Roscoff-053,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R5-Roscoff-058,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,10.2
G1A-ELK-R5-Roscoff-063,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,3,15.987000000000002
G1A-ELK-R5-Roscoff-068,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,7.6
G1A-ELK-R5-Roscoff-081,G1A,ELK,Incorrect,Incorrect,Incorrect,True,True,2,10.12
G1A-ELK-R6-Roscoff-006,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-010,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R6-Roscoff-016,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-018,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R6-Roscoff-019,G1A,ELK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-ELK-R6-Roscoff-023,G1A,ELK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-ELK-R6-Roscoff-043,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-044,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-056,G1A,ELK,Correct,Incorrect,Incorrect,False,True,1,9.0
G1A-ELK-R6-Roscoff-057,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-078,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-086,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-089,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-ELK-R6-Roscoff-090,G1A,ELK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-006,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,6.56
G1A-RTK-R1-Brest-012,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-016,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,12.719999999999999
G1A-RTK-R1-Brest-018,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-019,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,3.119999999999999
G1A-RTK-R1-Brest-020,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-024,G1A,RTK,Incomplete,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R1-Brest-032,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R1-Brest-055,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-059,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R1-Brest-073,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-079,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R1-Brest-089,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R1-Brest-094,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R2-Brest-004,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R2-Brest-007,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R2-Brest-015,G1A,RTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G1A-RTK-R2-Brest-035,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R2-Brest-038,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R2-Brest-044,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R2-Brest-047,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R2-Brest-067,G1A,RTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G1A-RTK-R2-Brest-082,G1A,RTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G1A-RTK-R2-Brest-085,G1A,RTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G1A-RTK-R2-Brest-092,G1A,RTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G1A-RTK-R2-Brest-093,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R2-Brest-097,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R3-Brest-009,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,18.759999999999998
G1A-RTK-R3-Brest-029,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,7.24
G1A-RTK-R3-Brest-033,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R3-Brest-036,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R3-Brest-039,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R3-Brest-046,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,0,0.0
G1A-RTK-R3-Brest-057,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R3-Brest-061,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R3-Brest-066,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,18.36
G1A-RTK-R3-Brest-078,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R3-Brest-083,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R3-Brest-100,G1A,RTK,Incomplete,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R3-Brest-101,G1A,RTK,Incorrect,Incorrect,Incorrect,True,True,2,8.56
G1A-RTK-R4-Roscoff-003,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-014,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-017,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-022,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-031,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-051,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R4-Roscoff-065,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-080,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-081,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-086,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-087,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-090,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-091,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R4-Roscoff-096,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-008,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-023,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-028,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-034,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-041,G1A,RTK,Incomplete,Incomplete,Incomplete,True,True,1,28.47
G1A-RTK-R5-Roscoff-053,G1A,RTK,Correct,Incorrect,Incorrect,False,True,1,16.2
G1A-RTK-R5-Roscoff-054,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-058,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-060,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-064,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-076,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-088,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R5-Roscoff-098,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R5-Roscoff-099,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R6-Roscoff-001,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-002,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-011,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-013,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-027,G1A,RTK,Correct,Incorrect,Incorrect,False,True,2,9.4
G1A-RTK-R6-Roscoff-037,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-040,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-045,G1A,RTK,Correct,Incorrect,Incorrect,False,True,1,7.199999999999999
G1A-RTK-R6-Roscoff-048,G1A,RTK,Correct,Incorrect,Incorrect,False,True,0,0.0
G1A-RTK-R6-Roscoff-056,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-068,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-069,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-070,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G1A-RTK-R6-Roscoff-075,G1A,RTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Brest-029,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Brest-034,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Brest-090,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Brest-093,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Brest-096,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Roscoff-009,G2A,CTK,Incomplete,Correct,Incomplete,False,True,0,0.0
G2A-CTK-S1-Roscoff-012,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Roscoff-013,G2A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,13.76
G2A-CTK-S1-Roscoff-043,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Roscoff-051,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S1-Roscoff-059,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S2-Roscoff-003,G2A,CTK,Incorrect,Correct,Incorrect,False,True,2,3.3200000000000003
G2A-CTK-S2-Roscoff-018,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S2-Roscoff-021,G2A,CTK,Correct,Correct,Correct,True,False,0,0.0
G2A-CTK-S2-Roscoff-025,G2A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,11.36
G2A-CTK-S3-Roscoff-077,G2A,CTK,Incorrect,Incorrect,Incorrect,True,True,2,7.959999999999999
