identificador,grupo,exercicio,avaliacao,escore_risco,alerta,desvio_detectado
G1A-CTK-R5-Roscoff-005,G1A,CTK,Correct,0.4269104946339304,False,False
G1A-CTK-R3-Brest-083,G1A,CTK,Incorrect,0.42612890204329495,False,False
G1A-CTK-R3-Brest-064,G1A,CTK,Incorrect,0.42595425054641417,False,False
G1A-CTK-R5-Roscoff-037,G1A,CTK,Correct,0.4256546558425512,False,False
G1A-CTK-R1-Brest-062,G1A,CTK,Correct,0.42364667813874984,False,False
G1A-CTK-R3-Brest-011,G1A,CTK,Correct,0.423491346213212,False,False
G1A-CTK-R1-Brest-057,G1A,CTK,Correct,0.4218059264574759,False,False
G1A-CTK-R5-Roscoff-063,G1A,CTK,Correct,0.4144249794481736,False,False
G1A-CTK-R3-Brest-039,G1A,CTK,Incorrect,0.4140325939201037,False,False
G1A-CTK-R5-Roscoff-045,G1A,CTK,Correct,0.3934847849476642,False,False
G1A-CTK-R1-Brest-095,G1A,CTK,Correct,0.3899955958999694,False,False
G1A-CTK-R5-Roscoff-105,G1A,CTK,Correct,0.38176783661695435,False,False
G1A-CTK-R5-Roscoff-028,G1A,CTK,Incorrect,0.3797404362520648,False,False
G1A-CTK-R5-Roscoff-004,G1A,CTK,Incorrect,0.37958968030793333,False,False
G1A-CTK-R4-Roscoff-080,G1A,CTK,Incorrect,0.3795206182093977,False,False
G1A-CTK-R1-Brest-038,G1A,CTK,Correct,0.36933238561008375,False,False
G1A-CTK-R4-Roscoff-053,G1A,CTK,Incorrect,0.35166873950989663,False,False
G1A-CTK-R5-Roscoff-049,G1A,CTK,Correct,0.344153453124675,False,False
G1A-CTK-R6-Roscoff-082,G1A,CTK,Incorrect,0.33173375993383347,False,False
G1A-CTK-R5-Roscoff-050,G1A,CTK,Correct,0.33075893781100446,False,False
G1A-CTK-R6-Roscoff-023,G1A,CTK,Correct,0.3182567765048639,False,False
G1A-CTK-R3-Brest-092,G1A,CTK,Incorrect,0.3044621495653256,False,False
G1A-CTK-R5-Roscoff-016,G1A,CTK,Correct,0.30427313762344693,False,False
G1A-CTK-R5-Roscoff-075,G1A,CTK,Incorrect,0.3012847140070354,False,False
G1A-CTK-R3-Brest-066,G1A,CTK,Incorrect,0.2973722093864905,False,False
G1A-CTK-R5-Roscoff-097,G1A,CTK,Correct,0.28451526859202203,False,False
G1A-CTK-R4-Roscoff-041,G1A,CTK,Correct,0.2828861399459272,False,False
G1A-CTK-R4-Roscoff-047,G1A,CTK,Correct,0.25609966686928964,False,False
G1A-CTK-R4-Roscoff-019,G1A,CTK,Correct,0.22376468158012355,False,False
G1A-CTK-R4-Roscoff-076,G1A,CTK,Incorrect,0.20864728980258115,False,False
G1A-CTK-R4-Roscoff-044,G1A,CTK,Incorrect,0.2084503424173756,False,False
G1A-CTK-R4-Roscoff-087,G1A,CTK,Correct,0.1904344345258881,False,False
G1A-CTK-R4-Roscoff-089,G1A,CTK,Correct,0.18376160432488892,False,False
G1A-CTK-R6-Roscoff-098,G1A,CTK,Correct,0.1483134255030106,False,False
G1A-CTK-R4-Roscoff-010,G1A,CTK,Correct,0.13655341784848563,True,False
G1A-CTK-R4-Roscoff-081,G1A,CTK,Correct,0.12321957568404016,True,False
G1A-CTK-R4-Roscoff-052,G1A,CTK,Correct,0.1186405182682049,True,False
G1A-CTK-R6-Roscoff-035,G1A,CTK,Correct,0.1020495737741859,False,False
G1A-CTK-R4-Roscoff-007,G1A,CTK,Correct,0.09880919237143722,True,False
G1A-CTK-R6-Roscoff-060,G1A,CTK,Correct,0.07368228314703792,False,False
G1A-CTK-R6-Roscoff-069,G1A,CTK,Correct,0.037497262021740946,False,False
G1A-ELK-R2-Brest-012,G1A,ELK,Incomplete,0.9055633844806731,True,True
G1A-ELK-R4-Roscoff-054,G1A,ELK,Incorrect,0.9036447574589598,True,True
G1A-ELK-R4-Roscoff-004,G1A,ELK,Incorrect,0.898582059850717,True,True
G1A-ELK-R3-Brest-013,G1A,ELK,Incomplete,0.8885974778881909,True,True
G1A-ELK-R4-Roscoff-015,G1A,ELK,Incorrect,0.8861646698768718,True,True
G1A-ELK-R4-Roscoff-051,G1A,ELK,Incorrect,0.8832823155540194,True,True
G1A-ELK-R2-Brest-001,G1A,ELK,Incomplete,0.8802208580538269,True,True
G1A-ELK-R2-Brest-039,G1A,ELK,Incomplete,0.879712029320435,True,True
G1A-ELK-R3-Brest-080,G1A,ELK,Motionless,0.8775410851231221,True,True
G1A-ELK-R2-Brest-033,G1A,ELK,Incomplete,0.8748295924255804,True,True
G1A-ELK-R2-Brest-067,G1A,ELK,Incorrect,0.8724490239197925,True,True
G1A-ELK-R5-Roscoff-063,G1A,ELK,Incorrect,0.8506070985890711,True,True
G1A-ELK-R1-Brest-075,G1A,ELK,Incorrect,0.84174235007833,True,True
G1A-ELK-R1-Brest-052,G1A,ELK,Incorrect,0.8405581820430911,True,True
G1A-ELK-R1-Brest-092,G1A,ELK,Incorrect,0.8367635053037238,True,True
G1A-ELK-R4-Roscoff-030,G1A,ELK,Incorrect,0.8359451802425951,True,True
G1A-ELK-R3-Brest-002,G1A,ELK,Correct,0.8343899449011918,True,True
G1A-ELK-R2-Brest-079,G1A,ELK,Incorrect,0.8320755457107493,True,True
G1A-ELK-R3-Brest-088,G1A,ELK,Correct,0.8240402823011025,True,True
G1A-ELK-R3-Brest-035,G1A,ELK,Incorrect,0.8229770908183452,True,True
G1A-ELK-R5-Roscoff-037,G1A,ELK,Incorrect,0.8132962970402043,True,True
G1A-ELK-R5-Roscoff-068,G1A,ELK,Incorrect,0.8093518865427684,True,True
G1A-ELK-R2-Brest-076,G1A,ELK,Correct,0.8065506755246631,True,True
G1A-ELK-R4-Roscoff-084,G1A,ELK,Incorrect,0.7924848102231584,True,True
G1A-ELK-R5-Roscoff-026,G1A,ELK,Incorrect,0.7816012921856871,True,True
G1A-ELK-R4-Roscoff-050,G1A,ELK,Incorrect,0.7800757516706224,True,True
G1A-ELK-R5-Roscoff-042,G1A,ELK,Incorrect,0.7781078615995021,True,True
G1A-ELK-R5-Roscoff-025,G1A,ELK,Incorrect,0.7773105006759159,True,True
G1A-ELK-R5-Roscoff-081,G1A,ELK,Incorrect,0.7715509693660866,True,True
G1A-ELK-R5-Roscoff-020,G1A,ELK,Incorrect,0.7648908997705961,True,True
G1A-ELK-R1-Brest-041,G1A,ELK,Incorrect,0.7578721808590169,True,True
G1A-ELK-R3-Brest-083,G1A,ELK,Incorrect,0.7571389339819588,True,True
G1A-ELK-R3-Brest-066,G1A,ELK,Incorrect,0.7532064872130638,True,True
G1A-ELK-R5-Roscoff-024,G1A,ELK,Incorrect,0.7458375647596163,True,True
G1A-ELK-R1-Brest-003,G1A,ELK,Incorrect,0.7391309385850077,True,True
G1A-ELK-R2-Brest-087,G1A,ELK,Incorrect,0.7325439528190096,True,True
G1A-ELK-R2-Brest-008,G1A,ELK,Incomplete,0.73156583036195,True,True
G1A-ELK-R1-Brest-014,G1A,ELK,Incorrect,0.72952395663873,True,True
G1A-ELK-R4-Roscoff-045,G1A,ELK,Incorrect,0.7292063291442552,True,True
G1A-ELK-R1-Brest-074,G1A,ELK,Incorrect,0.7289602302589205,True,True
G1A-ELK-R1-Brest-062,G1A,ELK,Incorrect,0.7268987794416151,True,True
G1A-ELK-R1-Brest-059,G1A,ELK,Incorrect,0.7233530270677776,True,True
G1A-ELK-R5-Roscoff-058,G1A,ELK,Incorrect,0.7226862107491107,True,True
G1A-ELK-R5-Roscoff-022,G1A,ELK,Incorrect,0.7224210804534029,True,True
G1A-ELK-R3-Brest-028,G1A,ELK,Incorrect,0.7190586689014993,True,True
G1A-ELK-R2-Brest-017,G1A,ELK,Incomplete,0.7185749715206863,True,True
G1A-ELK-R3-Brest-040,G1A,ELK,Incorrect,0.7071112399162709,True,True
G1A-ELK-R4-Roscoff-091,G1A,ELK,Incorrect,0.6948231653122657,True,True
G1A-ELK-R5-Roscoff-053,G1A,ELK,Incorrect,0.6918266056486279,True,True
G1A-ELK-R5-Roscoff-047,G1A,ELK,Incorrect,0.6864459302721068,True,True
G1A-ELK-R4-Roscoff-065,G1A,ELK,Incorrect,0.6723234433564184,True,True
G1A-ELK-R1-Brest-046,G1A,ELK,Incorrect,0.671201976409621,True,True
G1A-ELK-R2-Brest-073,G1A,ELK,Incorrect,0.6459189591163799,True,True
G1A-ELK-R5-Roscoff-032,G1A,ELK,Incorrect,0.6303907388929629,True,True
G1A-ELK-R2-Brest-027,G1A,ELK,Incorrect,0.6280582552361929,True,True
G1A-ELK-R2-Brest-038,G1A,ELK,Incorrect,0.6251031932339634,True,True
G1A-ELK-R1-Brest-029,G1A,ELK,Incorrect,0.6128678845056345,True,True
G1A-ELK-R1-Brest-049,G1A,ELK,Incorrect,0.6071895603299371,True,True
G1A-ELK-R3-Brest-055,G1A,ELK,Incorrect,0.5970872912399404,True,True
G1A-ELK-R3-Brest-070,G1A,ELK,Incorrect,0.5744072479923867,True,True
G1A-ELK-R1-Brest-048,G1A,ELK,Incorrect,0.5504544595435326,True,True
G1A-ELK-R3-Brest-011,G1A,ELK,Incorrect,0.5497461631629258,True,True
G1A-ELK-R2-Brest-064,G1A,ELK,Incorrect,0.5404298544707601,True,True
G1A-ELK-R3-Brest-034,G1A,ELK,Incomplete,0.5378979920095162,True,True
G1A-ELK-R6-Roscoff-057,G1A,ELK,Correct,0.5317156475422834,True,True
G1A-ELK-R4-Roscoff-082,G1A,ELK,Incorrect,0.5100076573373045,True,True
G1A-ELK-R6-Roscoff-019,G1A,ELK,Incomplete,0.4621728351139024,True,False
G1A-ELK-R4-Roscoff-031,G1A,ELK,Incorrect,0.4549295335575448,False,True
G1A-ELK-R6-Roscoff-018,G1A,ELK,Incomplete,0.426123079382028,True,False
G1A-ELK-R3-Brest-061,G1A,ELK,Incorrect,0.4222551304530474,False,False
G1A-ELK-R4-Roscoff-009,G1A,ELK,Incorrect,0.42202387951896536,False,False
G1A-ELK-R1-Brest-069,G1A,ELK,Incorrect,0.3824723535606209,False,False
G1A-ELK-R6-Roscoff-090,G1A,ELK,Correct,0.35863706428930475,False,False
G1A-ELK-R4-Roscoff-036,G1A,ELK,Incorrect,0.330476138963275,False,False
G1A-ELK-R6-Roscoff-056,G1A,ELK,Incorrect,0.3123696396995426,False,False
G1A-ELK-R6-Roscoff-043,G1A,ELK,Correct,0.27082255271332284,False,False
G1A-ELK-R6-Roscoff-044,G1A,ELK,Correct,0.1996637851846454,False,False
G1A-ELK-R6-Roscoff-010,G1A,ELK,Incomplete,0.18979003375280354,False,False
G1A-ELK-R6-Roscoff-023,G1A,ELK,Incorrect,0.17377600493920373,False,False
G1A-ELK-R6-Roscoff-089,G1A,ELK,Correct,0.1599941867373486,False,False
G1A-ELK-R6-Roscoff-078,G1A,ELK,Correct,0.11343593722137088,False,False
G1A-ELK-R6-Roscoff-006,G1A,ELK,Correct,0.10779598824188982,False,False
G1A-ELK-R6-Roscoff-086,G1A,ELK,Correct,0.09139731269985393,False,False
G1A-ELK-R6-Roscoff-016,G1A,ELK,Correct,0.07838575897336765,False,False
G1A-RTK-R1-Brest-006,G1A,RTK,Incorrect,0.7530216761694281,True,True
G1A-RTK-R1-Brest-016,G1A,RTK,Incorrect,0.7504786786551984,True,True
G1A-RTK-R3-Brest-101,G1A,RTK,Incorrect,0.7254608175839772,True,True
G1A-RTK-R3-Brest-039,G1A,RTK,Incomplete,0.6655730054567623,True,True
G1A-RTK-R1-Brest-094,G1A,RTK,Incorrect,0.655280480368955,True,True
G1A-RTK-R3-Brest-033,G1A,RTK,Incomplete,0.651710592660153,True,True
G1A-RTK-R5-Roscoff-076,G1A,RTK,Incorrect,0.6124483321410553,True,True
G1A-RTK-R3-Brest-083,G1A,RTK,Incorrect,0.6022319773685773,True,True
G1A-RTK-R1-Brest-089,G1A,RTK,Correct,0.6018227033722189,True,True
G1A-RTK-R1-Brest-059,G1A,RTK,Incorrect,0.5969187465141637,True,True
G1A-RTK-R3-Brest-057,G1A,RTK,Incorrect,0.5957992331036466,True,True
G1A-RTK-R1-Brest-055,G1A,RTK,Correct,0.5938931383100884,True,True
G1A-RTK-R3-Brest-046,G1A,RTK,Incomplete,0.5878256720998469,True,True
G1A-RTK-R1-Brest-019,G1A,RTK,Incorrect,0.5819226992247141,True,True
G1A-RTK-R1-Brest-024,G1A,RTK,Incorrect,0.5786954484687374,True,True
G1A-RTK-R5-Roscoff-023,G1A,RTK,Incorrect,0.5764747434072182,True,True
G1A-RTK-R5-Roscoff-099,G1A,RTK,Incorrect,0.5606591609352881,True,True
G1A-RTK-R1-Brest-018,G1A,RTK,Correct,0.5566650018039521,True,True
G1A-RTK-R3-Brest-061,G1A,RTK,Incorrect,0.5538338203924021,True,True
G1A-RTK-R3-Brest-100,G1A,RTK,Incorrect,0.5513584796075478,True,True
G1A-RTK-R1-Brest-079,G1A,RTK,Incorrect,0.5474655891735836,True,True
G1A-RTK-R3-Brest-029,G1A,RTK,Incorrect,0.5441557647642168,True,True
G1A-RTK-R1-Brest-073,G1A,RTK,Correct,0.5188036109758125,True,True
G1A-RTK-R3-Brest-009,G1A,RTK,Incorrect,0.5021272864297431,True,True
G1A-RTK-R1-Brest-012,G1A,RTK,Correct,0.49614187727706244,False,True
G1A-RTK-R3-Brest-066,G1A,RTK,Incorrect,0.48281588364036165,False,True
G1A-RTK-R3-Brest-036,G1A,RTK,Incomplete,0.44481391671568726,False,False
G1A-RTK-R6-Roscoff-048,G1A,RTK,Incorrect,0.43092378302862167,False,False
G1A-RTK-R1-Brest-020,G1A,RTK,Correct,0.4236803667086536,False,False
G1A-RTK-R1-Brest-032,G1A,RTK,Incorrect,0.4222942467479958,False,False
G1A-RTK-R4-Roscoff-017,G1A,RTK,Correct,0.3716109483321504,False,False
G1A-RTK-R6-Roscoff-056,G1A,RTK,Correct,0.36995093788677047,False,False
G1A-RTK-R5-Roscoff-098,G1A,RTK,Incorrect,0.33764312675014435,False,False
G1A-RTK-R3-Brest-078,G1A,RTK,Incorrect,0.319305580698522,False,False
G1A-RTK-R4-Roscoff-091,G1A,RTK,Correct,0.31527102853668443,False,False
G1A-RTK-R4-Roscoff-031,G1A,RTK,Correct,0.31185932395066435,False,False
G1A-RTK-R6-Roscoff-011,G1A,RTK,Correct,0.3117587638108783,False,False
G1A-RTK-R6-Roscoff-001,G1A,RTK,Correct,0.30513502084196215,True,False
G1A-RTK-R6-Roscoff-013,G1A,RTK,Correct,0.3045565818676799,True,False
G1A-RTK-R4-Roscoff-087,G1A,RTK,Correct,0.3014663786300117,False,False
G1A-RTK-R4-Roscoff-081,G1A,RTK,Correct,0.2975608569832578,False,False
G1A-RTK-R5-Roscoff-064,G1A,RTK,Correct,0.2970507811162895,False,False
G1A-RTK-R6-Roscoff-068,G1A,RTK,Correct,0.28945500465121315,False,False
G1A-RTK-R2-Brest-097,G1A,RTK,Correct,0.28441575722622553,False,False
G1A-RTK-R4-Roscoff-014,G1A,RTK,Correct,0.2772637494768548,False,False
G1A-RTK-R4-Roscoff-022,G1A,RTK,Correct,0.2601366121293849,False,False
G1A-RTK-R2-Brest-067,G1A,RTK,Incomplete,0.2529333762865091,False,False
G1A-RTK-R4-Roscoff-065,G1A,RTK,Correct,0.24658457672709613,False,False
G1A-RTK-R5-Roscoff-054,G1A,RTK,Incorrect,0.2429255271846916,False,False
G1A-RTK-R5-Roscoff-028,G1A,RTK,Incorrect,0.24286006462079124,False,False
G1A-RTK-R2-Brest-035,G1A,RTK,Incomplete,0.24072180995993228,False,False
G1A-RTK-R6-Roscoff-040,G1A,RTK,Correct,0.229690740768623,False,False
G1A-RTK-R2-Brest-015,G1A,RTK,Incomplete,0.22159591543849286,False,False
G1A-RTK-R5-Roscoff-053,G1A,RTK,Incorrect,0.21690807640286197,False,False
G1A-RTK-R5-Roscoff-034,G1A,RTK,Incorrect,0.20691856725302846,False,False
G1A-RTK-R6-Roscoff-069,G1A,RTK,Correct,0.20595046941563525,True,False
G1A-RTK-R6-Roscoff-075,G1A,RTK,Correct,0.20336581849463,False,False
G1A-RTK-R6-Roscoff-002,G1A,RTK,Correct,0.20071588596310547,True,False
G1A-RTK-R5-Roscoff-088,G1A,RTK,Correct,0.2002681201255877,False,False
G1A-RTK-R4-Roscoff-003,G1A,RTK,Correct,0.19424822372716685,False,False
G1A-RTK-R4-Roscoff-096,G1A,RTK,Correct,0.1885097907467421,False,False
G1A-RTK-R2-Brest-038,G1A,RTK,Incomplete,0.1879377867314513,False,False
G1A-RTK-R4-Roscoff-090,G1A,RTK,Correct,0.18762077726198578,False,False
G1A-RTK-R6-Roscoff-045,G1A,RTK,Incorrect,0.1875543204810787,True,False
G1A-RTK-R6-Roscoff-070,G1A,RTK,Correct,0.17606387945948554,False,False
G1A-RTK-R2-Brest-092,G1A,RTK,Incomplete,0.15946577904511577,False,False
G1A-RTK-R5-Roscoff-008,G1A,RTK,Correct,0.15749148780795924,False,False
G1A-RTK-R5-Roscoff-058,G1A,RTK,Correct,0.15190102918564705,False,False
G1A-RTK-R2-Brest-093,G1A,RTK,Correct,0.13845848377336917,False,False
G1A-RTK-R6-Roscoff-037,G1A,RTK,Correct,0.13768512237577413,False,False
G1A-RTK-R4-Roscoff-080,G1A,RTK,Correct,0.13587558601584668,False,False
G1A-RTK-R6-Roscoff-027,G1A,RTK,Incorrect,0.12643776914893742,False,False
G1A-RTK-R2-Brest-047,G1A,RTK,Incomplete,0.12458276950918887,False,False
G1A-RTK-R2-Brest-004,G1A,RTK,Incomplete,0.11839283632418364,False,False
G1A-RTK-R2-Brest-085,G1A,RTK,Incomplete,0.10251641776771632,False,False
G1A-RTK-R2-Brest-007,G1A,RTK,Correct,0.09945836472068996,False,False
G1A-RTK-R5-Roscoff-041,G1A,RTK,Incomplete,0.08760763688604485,False,False
G1A-RTK-R2-Brest-082,G1A,RTK,Incomplete,0.06874244114607518,False,False
G1A-RTK-R5-Roscoff-060,G1A,RTK,Correct,0.059138334168648984,False,False
G1A-RTK-R4-Roscoff-086,G1A,RTK,Correct,0.05543001859062451,False,False
G1A-RTK-R4-Roscoff-051,G1A,RTK,Incorrect,0.04795835928572232,False,False
G1A-RTK-R2-Brest-044,G1A,RTK,Incomplete,0.0319381290370952,False,False
G2A-CTK-S2-Roscoff-003,G2A,CTK,Incorrect,0.5001531526432735,True,True
G2A-CTK-S2-Roscoff-021,G2A,CTK,Correct,0.4857919595109267,False,True
G2A-CTK-S2-Roscoff-018,G2A,CTK,Correct,0.4351054329137518,False,False
G2A-CTK-S1-Brest-029,G2A,CTK,Correct,0.40276154882084825,False,False
G2A-CTK-S1-Roscoff-009,G2A,CTK,Incomplete,0.36033299813658115,False,False
G2A-CTK-S1-Brest-090,G2A,CTK,Correct,0.32547417586081945,False,False
G2A-CTK-S1-Roscoff-013,G2A,CTK,Incorrect,0.3238409293399001,False,False
G2A-CTK-S3-Roscoff-091,G2A,CTK,Incorrect,0.3220297094319117,False,False
G2A-CTK-S4-Roscoff-001,G2A,CTK,Correct,0.28999815861568246,False,False
G2A-CTK-S4-Roscoff-026,G2A,CTK,Correct,0.2849145056756921,False,False
G2A-CTK-S2-Roscoff-025,G2A,CTK,Incorrect,0.2761001058143188,False,False
G2A-CTK-S4-Roscoff-088,G2A,CTK,Incomplete,0.2619627545057642,False,False
G2A-CTK-S3-Roscoff-077,G2A,CTK,Incorrect,0.2426108486789692,False,False
G2A-CTK-S4-Roscoff-068,G2A,CTK,Incomplete,0.24022816675488284,False,False
G2A-CTK-S4-Roscoff-015,G2A,CTK,Correct,0.2169340527906313,False,False
G2A-CTK-S1-Brest-034,G2A,CTK,Correct,0.21556790044800989,True,False
G2A-CTK-S4-Roscoff-074,G2A,CTK,Correct,0.21395873441314983,False,False
G2A-CTK-S1-Brest-093,G2A,CTK,Correct,0.20683479536592325,False,False
G2A-CTK-S1-Roscoff-051,G2A,CTK,Correct,0.19410497954211547,False,False
G2A-CTK-S4-Roscoff-046,G2A,CTK,Correct,0.1926178956076764,False,False
G2A-CTK-S1-Brest-096,G2A,CTK,Correct,0.18709152144708147,True,False
G2A-CTK-S1-Roscoff-059,G2A,CTK,Correct,0.1588301986695715,False,False
G2A-CTK-S1-Roscoff-012,G2A,CTK,Correct,0.15166827718989812,False,False
G2A-CTK-S1-Roscoff-043,G2A,CTK,Correct,0.13255538237328768,False,False
G2A-ELK-S3-Roscoff-007,G2A,ELK,Incomplete,0.8627870655248265,True,True
G2A-ELK-S1-Roscoff-077,G2A,ELK,Incorrect,0.8366121218065092,True,True
G2A-ELK-S1-Roscoff-071,G2A,ELK,Correct,0.8040706069421762,True,True
G2A-ELK-S3-Roscoff-021,G2A,ELK,Incorrect,0.7872841938645849,True,True
G2A-ELK-S1-Roscoff-060,G2A,ELK,Incorrect,0.7374910803818076,True,True
G2A-ELK-S3-Roscoff-085,G2A,ELK,Correct,0.6800788437074994,True,True
G2A-ELK-S1-Roscoff-072,G2A,ELK,Correct,0.6674349635156229,True,True
G2A-ELK-S1-Roscoff-005,G2A,ELK,Motionless,0.6473675528115089,True,True
G2A-RTK-S6-Roscoff-077,G2A,RTK,Correct,0.6259792711499818,True,True
G2A-RTK-S1-Roscoff-050,G2A,RTK,Correct,0.6191137680940223,True,True
G2A-RTK-S3-Roscoff-095,G2A,RTK,Incorrect,0.6046030722195516,True,True
G2A-RTK-S1-Roscoff-072,G2A,RTK,Correct,0.6037484739133272,True,True
G2A-RTK-S1-Roscoff-052,G2A,RTK,Correct,0.572302349151918,True,True
G2A-RTK-S5-Brest-043,G2A,RTK,Correct,0.5664024054869393,True,True
G2A-RTK-S1-Roscoff-005,G2A,RTK,Correct,0.5516715904059467,True,True
G2A-RTK-S6-Roscoff-062,G2A,RTK,Incorrect,0.5512607621962768,True,True
G2A-RTK-S1-Roscoff-010,G2A,RTK,Correct,0.5432066966657523,True,True
G2A-RTK-S5-Brest-074,G2A,RTK,Correct,0.5237981969953232,True,True
G2A-RTK-S3-Roscoff-084,G2A,RTK,Correct,0.5217149331145151,True,True
G2A-RTK-S5-Brest-026,G2A,RTK,Correct,0.4967175892417512,False,True
G2A-RTK-S1-Roscoff-025,G2A,RTK,Correct,0.46545136759668587,False,False
G2A-RTK-S3-Roscoff-030,G2A,RTK,Correct,0.44480978265306803,False,False
G2A-RTK-S6-Roscoff-071,G2A,RTK,Incorrect,0.43728846440279223,False,False
G2A-RTK-S2-Roscoff-063,G2A,RTK,Correct,0.4033774158222571,False,False
G2A-RTK-S1-Roscoff-049,G2A,RTK,Correct,0.3087177497244754,False,False
G2A-RTK-S6-Roscoff-042,G2A,RTK,Incorrect,0.27667684200583176,False,False
G2A-RTK-S2-Roscoff-021,G2A,RTK,Correct,0.259338532448276,False,False
